# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[ -23.94027305 -106.4276889   -11.17054525];[0.5427841861986374, -0.13790637734440284, 1.2262912702505828, -1.5781867496159976];[-24.65, -112.77, -13.22]
[ -23.93859191 -106.43362952   -4.78678124];[0.745207189099062, -0.13727239036701752, 1.040117678607011, -1.5795804490059266];[-24.86, -112.94, -6.47]
[ -23.93798418 -106.4366405     1.59553278];[0.9434552096066344, -0.13705128664966534, 0.8450178394771329, -1.5796832430882946];[-24.98, -112.95, 0.34]
[ -23.93935809 -106.43066269    7.97840788];[1.1345174906506756, -0.13760335687557942, 0.6443405340662612, -1.5791526309264152];[-24.92, -112.87, 7.26]
[ -23.94132576 -106.424645     14.36328205];[1.3151420079025178, -0.137992502363102, 0.4408448612429438, -1.5763902050778342];[-24.96, -112.64, 13.81]
[ -23.9438023  -106.41809452   20.75065322];[1.4833099143278687, -0.13660979617769464, 0.23667264333399451, -1.5689020097598307];[-25.05, -112.33, 20.25]
[ -17.5573458  -106.4148016    23.94342299];[1.5736638541499743, -0.33887052494396674, 0.13772972314223286, -1.4010947268695];[-18.54, -112.14, 23.53]
[ -17.55367359 -106.43674269   17.55367363];[1.4104930649252068, -0.3427143543872945, 0.3427143423059179, -1.4104930748127136];[-18.41, -112.39, 17.52]
[ -17.55192519 -106.44323541   11.16852932];[1.235063958781014, -0.34362885164240276, 0.5479103956812685, -1.4145734160745156];[-18.32, -112.7, 10.96]
[ -17.55061204 -106.44944274    4.78587751];[1.047991455120576, -0.3432872926988629, 0.7515014912788099, -1.4155836016959573];[-18.26, -112.93, 4.32]
[ -17.55013059 -106.45259638   -1.59522744];[0.8518679645353502, -0.34311173778836784, 0.9508331822219551, -1.4156086041317484];[-18.29, -113.03, -2.31]
[ -17.5512118  -106.44634082   -7.97693157];[0.650056434892041, -0.3435092293512513, 1.1428534136803419, -1.4153098052030306];[-18.25, -113.05, -9.18]
[ -17.55274724 -106.44005902  -14.36076372];[0.44538163740235037, -0.3434431726281347, 1.324341452688987, -1.413082125509552];[-18.16, -112.96, -15.91]
[ -17.55550323 -106.42560365  -20.74817843];[0.24018557507217353, -0.34131865302377307, 1.4936981027503236, -1.4067143200025818];[-18.17, -112.69, -22.2]
[ -11.17143785 -106.41477617  -23.94209301];[0.13807454353746784, -0.5430513782565511, 1.5786557167952542, -1.2267247109466295];[-11.88, -112.64, -25.44]
[ -11.16901105 -106.43647767  -17.5526631 ];[0.34373799627369606, -0.5480473189498558, 1.4148096935493752, -1.2352884988258936];[-11.83, -112.82, -19.57]
[ -11.16662401 -106.46003994  -11.16662405];[0.5493017721759674, -0.5493017866107655, 1.2383075360340552, -1.2383076146208025];[-11.83, -113.04, -13.09]
[ -11.16573469 -106.46649994   -4.78502897];[0.7535089422701188, -0.5492612962508218, 1.0507879534745852, -1.2390800564857447];[-11.83, -113.16, -6.47]
[ -11.16540514 -106.46979194    1.59494063];[0.9533861068761563, -0.5491308332972509, 0.854158259298847, -1.2390621737757759];[-11.88, -113.18, 0.11]
[ -11.16614148 -106.46326937    7.9755416 ];[1.1458767680025514, -0.5493718602358539, 0.6517622050622216, -1.2388974702963342];[-11.91, -113.16, 6.84]
[ -11.16781026 -106.44801994   14.35917155];[1.3281099643115817, -0.549006493205376, 0.4466089620229442, -1.2373158261426942];[-11.96, -112.97, 13.39]
[ -11.1702259  -106.42533171   20.74702209];[1.4983238482981243, -0.5461532976142068, 0.24086405613438, -1.231875978145603];[-12.08, -112.6, 20.02]
[ -11.17246276 -106.40752806   27.13728385];[1.6558033930626925, -0.5384331583017716, 0.035346945816578906, -1.2194202637110487];[-12.24, -112.16, 26.27]
[  -4.78829523 -106.40012095   30.33187806];[1.732291511677794, -0.7328873832765428, -0.0681830758365774, -1.0252720971120408];[-5.36, -112.04, 28.9]
[  -4.78736442 -106.41454      23.94132002];[1.5802657051923856, -0.7456770021081971, 0.13751397052971526, -1.0406978642070461];[-5.12, -112.32, 23.78]
[  -4.78629844 -106.43607849   17.55209045];[1.4160453837277218, -0.7518253697647095, 0.343498309657128, -1.0483931703060496];[-5.04, -112.75, 17.24]
[  -4.78525039 -106.45961875   11.16624241];[1.239302495599296, -0.75367253767614, 0.549395013331106, -1.0509916189781752];[-5.03, -112.99, 10.64]
[  -4.78423895 -106.48523843    4.78423896];[1.0510129909662258, -0.7534642102006761, 0.7534641931847752, -1.0510130373761117];[-4.99, -113.19, 3.93]
[  -4.78408889 -106.48866246   -1.59467411];[0.8542121226960019, -0.7533731073968202, 0.9535289914645189, -1.0509668449798055];[-4.97, -113.26, -2.71]
[  -4.78473861 -106.47215588   -7.97476801];[0.6518155230011559, -0.7537014219119317, 1.146479694918604, -1.0511854088164607];[-4.99, -113.27, -9.33]
[  -4.78577081 -106.44761161  -14.35869249];[0.4465356906806214, -0.7531396058844159, 1.3292145769845787, -1.0501645450788109];[-5.0, -113.18, -15.96]
[  -4.78683356 -106.42493869  -20.74635903];[0.2404616108225816, -0.7494372823886888, 1.4997253222741398, -1.045349399324769];[-4.97, -112.92, -22.36]
[  -4.78781893 -106.40730839  -27.13641442];[0.03464043788914563, -0.7402149521149028, 1.657688567890749, -1.0340630145272705];[-4.97, -112.51, -28.81]
[   1.59607271 -106.40005922  -30.33167901];[-0.0684178963498868, -0.9294975393994898, 1.7326321729241108, -0.8318997934977326];[2.22, -112.27, -31.44]
[   1.59576002 -106.41446997  -23.94116181];[0.13733004008243088, -0.9440882148867873, 1.5804768774180444, -0.845607719897358];[2.35, -112.45, -26.11]
[   1.59540282 -106.43597263  -17.55197458];[0.34337287865241306, -0.9513021547444572, 1.4161812809637686, -0.8523044875274116];[2.27, -112.8, -19.61]
[   1.59505167 -106.45950568  -11.16616602];[0.5493298970468636, -0.9536715292923991, 1.2393937625244034, -0.8544236136980948];[2.16, -112.97, -13.12]
[   1.59471289 -106.48511341   -4.78420481];[0.7534559304109959, -0.9536262031831211, 1.0510701573371648, -0.8543023785667152];[2.11, -113.07, -6.49]
[   1.5945514  -106.49869213    1.5945514 ];[0.9532897902211179, -0.9532897951842128, 0.8539709299517956, -0.8539710068728801];[2.07, -113.09, 0.1]
[   1.59488026 -106.47203755    7.97471232];[1.1465537525163096, -0.9538166236672889, 0.651779601459417, -0.854514043554197];[1.99, -113.04, 6.81]
[   1.59522601 -106.44750268   14.35859608];[1.3293255941268058, -0.9529333821637309, 0.4464404398258485, -0.8537832266683754];[1.96, -112.87, 13.43]
[   1.59558224 -106.4248352    20.74622413];[1.4998940552490538, -0.948461661589524, 0.24030651656110008, -0.8496830433043624];[2.02, -112.53, 20.07]
[   1.59591263 -106.40724238   27.13623564];[1.6579567961531199, -0.937823460925437, 0.03442997859407426, -0.8397355198730382];[2.33, -112.07, 26.48]
[   7.98074088 -106.40022232   30.33226971];[1.73150241243603, -1.1188230596650113, -0.06778145293209975, -0.6328510104362179];[9.24, -111.73, 29.32]
[   7.97921263 -106.41465651   23.94163267];[1.5797300988752097, -1.1350309174644146, 0.13780840753609264, -0.6447026856360173];[9.16, -111.96, 23.81]
[   7.977454   -106.43626316   17.55232077];[1.4156598104151454, -1.143173331823729, 0.3436698749716951, -0.650280378367101];[9.2, -112.37, 17.25]
[   7.97572458 -106.45981492   11.1663951 ];[1.2390096902241732, -1.1459847672353547, 0.5494395014583929, -0.6518373628661555];[9.24, -112.61, 10.67]
[   7.97458048 -106.47565216    4.78462529];[1.0510826905993496, -1.1463717448125126, 0.7536189767300259, -0.6517407251831203];[9.22, -112.82, 3.96]
[   7.97433734 -106.4790113    -1.59480443];[0.8543355705576282, -1.146339101339297, 0.9536245616674156, -0.6516309333369745];[9.24, -112.89, -2.7]
[   7.97487958 -106.47236075   -7.9748796 ];[0.6517981157022091, -1.1462242823661661, 1.146224242075909, -0.6517981274280368];[9.23, -112.89, -9.3]
[   7.97658364 -106.44780114  -14.35888465];[0.446643654616632, -1.1450749265393092, 1.3288800798617073, -0.6514202753556946];[9.22, -112.83, -16.02]
[   7.97833583 -106.42511985  -20.74662642];[0.24069548778570532, -1.139940503495731, 1.499273812730549, -0.6481363194543447];[9.26, -112.56, -22.38]
[   7.97995954 -106.40741752  -27.13676689];[0.034990684248071946, -1.1280503048902581, 1.657041001647778, -0.6396612393323342];[9.47, -112.1, -28.84]
[  14.36413366 -106.41484399  -23.94269261];[0.1381226041483933, -1.3154833721454209, 1.576748829843705, -0.4410296261664473];[15.71, -111.78, -26.27]
[  14.36106839 -106.43665947  -17.55311476];[0.3434988703843849, -1.3244586616046095, 1.4132018309813303, -0.44544418536371433];[15.68, -112.14, -19.75]
[  14.35885788 -106.45144259  -11.16756333];[0.5489379486015138, -1.3279937147101568, 1.23720289988598, -0.4465476743309847];[15.73, -112.3, -13.33]
[  14.35774894 -106.45777842   -4.78544679];[0.7528955829209928, -1.3288733759200932, 1.0498612464749957, -0.4463572387337121];[15.78, -112.41, -6.7]
[  14.35734    -106.46100176    1.59508167];[0.9525556281810911, -1.3288738798260482, 0.8534319521057071, -0.4462045728843563];[15.76, -112.43, -0.07]
[  14.35825586 -106.4546112     7.97622637];[1.1448603490047948, -1.3286503619835914, 0.6512705034943665, -0.44652312325196597];[15.7, -112.37, 6.91]
[  14.35955229 -106.44820247   14.35955232];[1.3266151568022344, -1.3266152126239392, 0.44622012631513663, -0.4462201387831804];[15.73, -112.15, 13.59]
[  14.36259957 -106.42551411   20.747541  ];[1.4965805911364118, -1.3208677505086752, 0.24077083681249267, -0.443801179998508];[15.75, -111.76, 20.23]
[  14.3654191  -106.40758642   27.13795363];[1.6536863105476163, -1.3078706380928862, 0.035525958520405146, -0.43682969666346316];[16.05, -111.29, 26.33]
[  20.75105437 -106.41472161   23.94425997];[1.569027039269411, -1.483433624837568, 0.13665638950636394, -0.23672506994336673];[22.23, -110.92, 23.84]
[  20.74776309 -106.42898708   17.55514723];[1.4065934780660576, -1.4935753816771824, 0.34126148476279716, -0.24013471752457513];[22.22, -111.45, 17.35]
[  20.74576453 -106.43534605   11.16952211];[1.2315412297023167, -1.4979658217102643, 0.545948095761933, -0.24071867352758294];[22.32, -111.7, 10.8]
[  20.74426122 -106.4414215     4.78632166];[1.0448507105864244, -1.4991430510802621, 0.7490343513689313, -0.24022824409100219];[22.33, -111.93, 4.04]
[  20.74371378 -106.44450435   -1.59537729];[0.849162728746381, -1.4992011264614855, 0.9479029263302258, -0.24002966058587372];[22.39, -112.03, -2.75]
[  20.74494713 -106.43838648   -7.97765773];[0.6478385889112244, -1.498802718581422, 1.139516716448984, -0.24050560855812195];[22.42, -111.99, -9.68]
[  20.74670563 -106.43223525  -14.3620058 ];[0.4436759001508594, -1.496338537881425, 1.3206346143831342, -0.24067161034683154];[22.39, -111.87, -16.51]
[  20.74893095 -106.4255428   -20.74893101];[0.23886335304504225, -1.4893083058799683, 1.489308260995224, -0.2388633360912215];[22.32, -111.65, -22.88]
[  27.1353164  -106.42017467  -11.171605  ];[0.5381694866437908, -1.6553390961283723, 1.2189950282406967, -0.035199610511287144];[28.58, -111.45, -13.93]
