# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  7.98216413 -98.40760336  39.93847794];[2.2089443914285805, -1.3412812148139235, -0.2675546223617051, -0.8080174932994967]
[  7.97980015 -98.4305299   31.94164672];[2.0416373025593515, -1.3794250992450807, 0.0038417624386778426, -0.8358874425226379]
[  7.9778322  -98.45419764  23.94651145];[1.853622761817518, -1.397623018141396, 0.2789999878203121, -0.8486675670340208]
[  7.97554473 -98.49053747  15.95553513];[1.6387921085252588, -1.4001632035673288, 0.5601109547711606, -0.8496802568114888]
[  7.97311554 -98.53373545   7.97311578];[1.3950294750665821, -1.3950308382837633, 0.8451555686610527, -0.8451552743399154]
[ 7.97252894e+00 -9.85436507e+01 -1.27585671e-06];[1.1273790140093114, -1.392175710427752, 1.1273821966901891, -0.8427314413462732]
[  7.97311658 -98.53373493  -7.9731159 ];[0.8451542519366845, -1.3950287651087274, 1.3950322097616188, -0.8451521787596927]
[  7.97554641 -98.49052424 -15.95553447];[0.5601130952392522, -1.4001612131511962, 1.638792014860756, -0.849677071298136]
[  7.97783371 -98.45419004 -23.94651069];[0.27900793808104885, -1.3976152101845862, 1.8536214089084218, -0.8486626109751101]
[  7.97980293 -98.43052387 -31.94164548];[0.0038602851690557466, -1.3794031948483167, 2.041642549175409, -0.8358783830825711]
[  7.98214788 -98.40760606 -39.93847679];[-0.2675343839039016, -1.3413478298722061, 2.20894906491256, -0.807925796201123]
[ 1.88325406e-05 -9.84076775e+01 -3.99376908e+01];[-0.2700098837257801, -1.0809739263598708, 2.2076888549173597, -1.0811482708592188]
[-5.96575121e-08 -9.84306448e+01 -3.19410706e+01];[0.001457452287052144, -1.1144606739887633, 2.0393813307551474, -1.1144601130386387]
[ 4.02046622e-08 -9.84542358e+01 -2.39461495e+01];[0.2767058408100062, -1.1303050573487898, 1.8509075678572218, -1.130305277191814]
[ 4.71299466e-08 -9.84905811e+01 -1.59553306e+01];[0.5578953947430019, -1.1323491413004012, 1.6360573057102699, -1.1323494201876465]
[ 4.97289974e-08 -9.85336762e+01 -7.97303076e+00];[0.8429658965846543, -1.1276790111992576, 1.392521593230162, -1.1276792380997815]
[ 5.48782311e-08 -9.85860976e+01  1.90988251e-06];[1.123840722066812, -1.1238392636448205, 1.1238399953699973, -1.1238394914742833]
[ 4.97544424e-08 -9.85336682e+01  7.97303215e+00];[1.3925221836051997, -1.1276764067634233, 0.8429675646799586, -1.127676634081716]
[ 4.51129743e-08 -9.84905691e+01  1.59553306e+01];[1.636054896011879, -1.1323471222297647, 0.5578997634850485, -1.1323473467084155]
[ 4.21347646e-08 -9.84542296e+01  2.39461494e+01];[1.8509039245695385, -1.1303000540958226, 0.2767153442755682, -1.1303003274650978]
[ 3.65425907e-08 -9.84306404e+01  3.19410703e+01];[2.0393848186624957, -1.1144471531050235, 0.00147681833910078, -1.1144473490281608]
[ 3.36889334e-08 -9.84076746e+01  3.99376901e+01];[2.207697234136554, -1.0810481263479088, -0.2699911985619161, -1.0810483175024121]
[ -7.98212654 -98.4076166   39.93847834];[2.2089358221522355, -0.8078526868391679, -0.26755179670394763, -1.3414544006053815]
[ -7.97980028 -98.43053005  31.94164666];[2.041637192354148, -0.8358877910436616, 0.0038419437323945066, -1.3794243720619845]
[ -7.97783213 -98.45419763  23.94651146];[1.8536228292989931, -0.8486673441386512, 0.27900003497305476, -1.3976232547376914]
[ -7.97554465 -98.49053754  15.95553513];[1.6387921644886296, -0.8496800714070081, 0.5601110164487213, -1.400163441275956]
[ -7.97311545 -98.53373545   7.97311578];[1.3950295419502032, -0.8451550866316703, 0.8451556320017343, -1.39503108059027]
[-7.97252885e+00 -9.85436506e+01 -1.26944625e-06];[1.1273790509816675, -0.8427312499474756, 1.1273822788764656, -1.3921759472595294]
[ -7.97311649 -98.53373487  -7.97311591];[0.8451543032162997, -0.8451519351479303, 1.3950322783272249, -1.3950290539962429]
[ -7.97554632 -98.49052429 -15.95553447];[0.5601131479100198, -0.8496768192887028, 1.6387920640584415, -1.4001614903961903]
[ -7.97783364 -98.45419007 -23.94651069];[0.27900797447293657, -0.8486624196543435, 1.8536214614038438, -1.397615417576153]
[ -7.97980286 -98.43052388 -31.94164548];[0.0038603283740929334, -0.835878202613525, 2.0416425958437525, -1.3794033973704876]
[ -7.98214782 -98.40760604 -39.9384768 ];[-0.26753433183471476, -0.8079256749354744, 2.2089491236381584, -1.3413480286471062]
[-15.96800494 -98.40694593 -39.94057769];[-0.2621712000600991, -0.5320872903131014, 2.209000004753697, -1.5788623440667444]
[-15.96393961 -98.42966513 -31.9432303 ];[0.008783784596725977, -0.5547845394571689, 2.044241930305012, -1.6202392989027687]
[-15.96039701 -98.45348906 -23.94757201];[0.28342979238083454, -0.5643487413335457, 1.85741100026448, -1.6400059782543328]
[-15.9561973  -98.48974136 -15.95619998];[0.5640208143072034, -0.5640174072049, 1.642738380645017, -1.6427443337039551]
[-15.95467283 -98.50002406  -7.97507553];[0.8494525968191862, -0.5599380763687662, 1.399815031805455, -1.638429574181227]
[-1.59536155e+01 -9.85093817e+01 -8.73026950e-08];[1.1317778496196373, -0.5575573711987942, 1.1317651095715502, -1.6353466800876064]
[-15.95467315 -98.50003483   7.97507212];[1.3998270543308717, -0.5599345411723885, 0.8494408918881678, -1.6384271293430046]
[-15.95619933 -98.48973836  15.9561957 ];[1.6427466777350486, -0.5640131726271795, 0.5640134781720942, -1.6427390643981166]
[-15.96040066 -98.4534759   23.94756919];[1.8574178788403821, -0.5643441462289496, 0.28343054345560736, -1.6399906518567997]
[-15.96394571 -98.42965316  31.94322668];[2.0442530533904804, -0.554778196228361, 0.0087968726080727, -1.6202036492877074]
[-15.96802894 -98.40692681  39.94057358];[2.2090224227752535, -0.5321539253012941, -0.26215621084017704, -1.5787507351883796]
