# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -31.93594188 -114.27139439   15.98453336];[0.7006782483468676, 0.296535715427662, 0.043300659943343554, -1.0576293824285623]
[ -31.92105686 -122.21728685   15.97417113];[0.5118492807375216, 0.4184619972546373, -0.10648260722470296, -0.8529886173113912]
[ -31.91691854 -122.23646663    7.98979331];[0.3671899530791256, 0.4032619857731691, 0.061548847395431254, -0.8731586223440517]
[-3.19152543e+01 -1.22246093e+02  5.22920269e-03];[0.21376688042251574, 0.39723536935700426, 0.22160013695829392, -0.8797406345954848]
[ -31.91820198 -122.23982029   -7.97944455];[0.05248075230825302, 0.40032607920627883, 0.37349607641591376, -0.8730240053056249]
[ -31.92379337 -122.22244944  -15.96405094];[-0.1163973427758361, 0.4128268539785104, 0.516529379197156, -0.8527453418905833]
[ -23.95593765 -122.20373921  -23.94937337];[-0.2573470912793962, 0.24902828685737047, 0.6955469909486708, -0.6928613890923085]
[ -23.94876769 -122.23431523  -15.96386043];[-0.07972865922991779, 0.22631452292522142, 0.5593956264986414, -0.7250007812591284]
[ -23.94432429 -122.24931331   -7.97989562];[0.09052467484783337, 0.21358629728101955, 0.41392397525361163, -0.7442811155425877]
[-2.39420244e+01 -1.22253699e+02  4.00741290e-03];[0.2535365216440314, 0.21037077257916081, 0.25984834458463346, -0.7508266738354167]
[ -23.94332979 -122.24251041    7.98809702];[0.4089816086487869, 0.21638189766322619, 0.09794553286328497, -0.7448920013772096]
[ -23.94600582 -122.22542114   15.97232751];[0.5558520282288277, 0.23179127519711412, -0.07160730173611071, -0.7261695353274586]
[ -23.94939034 -122.20394897   23.95572474];[0.6930453855917852, 0.2569755072340466, -0.24898228033719122, -0.69441307901029]
[ -15.96491641 -122.21761567   31.9253237 ];[0.8530848715358407, 0.11591567047358489, -0.4127632042264138, -0.5156118725078842]
[ -15.96429802 -122.23182899   23.9491471 ];[0.7252687746138192, 0.07929653826684493, -0.22626267959672378, -0.5584640950865731]
[ -15.96431319 -122.23870789   15.96920609];[0.5867762245686151, 0.05327677998801006, -0.04796665645366434, -0.5885126325976648]
[ -15.96432141 -122.24531469    7.98635382];[0.43861401017945933, 0.037372278652970006, 0.1229028957487614, -0.6061265483523828]
[-1.59638112e+01 -1.22257157e+02  2.68684532e-03];[0.28177646655211214, 0.031335626247465276, 0.28626533998166326, -0.6114165114324062]
[ -15.96569952 -122.25425643   -7.98055428];[0.11755604630232362, 0.034812219570826905, 0.4420400121490526, -0.6049634283337254]
[ -15.96939797 -122.23852962  -15.9643058 ];[-0.05364226183923386, 0.04802990758424301, 0.5894698235423674, -0.5866082177075455]
[ -15.97284209 -122.22264639  -23.94662976];[-0.23209453998367327, 0.07164645740600636, 0.7273077692964859, -0.5557554263205194]
[ -15.97495954 -122.21215361  -31.92288263];[-0.41871992568923805, 0.1064910565849362, 0.8542858391935835, -0.5118202875822939]
[  -7.99032919 -122.2283608   -31.91976234];[-0.4034621015718264, -0.06160331829451943, 0.8744978752076856, -0.3671712598417568]
[  -7.98856028 -122.23688819  -23.94461962];[-0.21667052352037375, -0.0979551879486426, 0.7461279566307232, -0.4089152487828214]
[  -7.98669733 -122.24241372  -15.96472243];[-0.037723197323127566, -0.12289066883715309, 0.6071774299494774, -0.4384696663795904]
[  -7.98428722 -122.25622818   -7.98150863];[0.13402588987609151, -0.13690111937108063, 0.4584786475105395, -0.45606696272668606]
[-7.98267825e+00 -1.22258142e+02  1.31051813e-03];[0.29890342970919426, -0.14076666982910846, 0.3015402495228805, -0.46244803194086004]
[  -7.98152589 -122.2563455     7.98409097];[0.4562556482438307, -0.13451677805402185, 0.1369854469058135, -0.4575221108462691]
[  -7.98079845 -122.25149371   15.96589936];[0.6051883522916359, -0.1180722096541128, -0.034684355847075694, -0.441169086260064]
[  -7.98038183 -122.24384207   23.94538181];[0.7446282161385094, -0.09111491695611638, -0.21348886449790028, -0.4130710099797226]
[  -7.98017909 -122.23195443   31.92076808];[0.8734465575592942, -0.0530888392276201, -0.4002407061201618, -0.372709347603401]
[ 4.96380057e-03 -1.22235436e+02  3.19188240e+01];[0.8802336914999552, -0.21449544224363576, -0.39713084043065433, -0.22094349698003107]
[ 3.85211432e-03 -1.22245364e+02  2.39437721e+01];[0.7512881441650622, -0.25423680345348015, -0.21027482170497405, -0.25913918860556506]
[ 2.60791319e-03 -1.22251469e+02  1.59644405e+01];[0.6117482620272879, -0.2824050079757726, -0.031200472759093628, -0.28554128335911283]
[ 1.27881384e-03 -1.22255272e+02  7.98268060e+00];[0.4627436364136309, -0.2995015500257657, 0.14086355454434757, -0.30073897181536813]
[-1.00432299e-04 -1.22257709e+02 -9.06992943e-05];[0.30530068457682996, -0.3058057701153319, 0.30589325618537166, -0.30508056825236196]
[-1.47906501e-03 -1.22255296e+02 -7.98285697e+00];[0.1403598405091162, -0.301467715336023, 0.4634165978544714, -0.29877895275127375]
[-2.80868936e-03 -1.22251473e+02 -1.59646102e+01];[-0.03161025555371171, -0.2862752976887603, 0.6124905738735426, -0.28168510708162564]
[-4.05460705e-03 -1.22245348e+02 -2.39439336e+01];[-0.21059034039011124, -0.25987962067342113, 0.7520855996283314, -0.2535179087379311]
[-5.17438395e-03 -1.22235401e+02 -3.19189686e+01];[-0.39737775680357545, -0.2216961376831967, 0.8811023985656838, -0.2137673600888428]
