# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-15.95619828 -98.4897368   15.95619847];[1.6427416192038344, -0.5640168647605377, 0.5640162773594853, -1.6427408413061872]
[-11.96668917 -98.47150368  19.95047624];[1.7521651345864622, -0.7074470335746965, 0.4209727083034819, -1.5252780778896484]
[-11.96503009 -98.49030609  15.95580195];[1.641154316129915, -0.7066064649298741, 0.5621983507086539, -1.52502871344641]
[-11.96331229 -98.51085854  11.96331202];[1.5227454212825318, -0.7045192925478164, 0.7045197709939516, -1.522744849996673]
[-11.96277079 -98.51592923   7.97411979];[1.3978182632098737, -0.7024000820304014, 0.847549824587001, -1.5202896498501388]
[-11.96231452 -98.52078369   3.98654726];[1.2664876632515158, -0.700709290543009, 0.989838812300484, -1.5182090378127509]
[-1.19619326e+01 -9.85255714e+01  4.37623510e-08];[1.1299110125385994, -0.7000114843893841, 1.1299116635790138, -1.5173026360563897]
[-11.96231438 -98.52078396  -3.98654719];[0.9898378475807698, -0.7007093769718775, 1.26648768581352, -1.5182092177001758]
[-11.9627705  -98.51592982  -7.97411979];[0.8475488864039203, -0.7024002158880588, 1.397817552496562, -1.5202897577091103]
[-11.96331205 -98.5108574  -11.96331227];[0.7045192041201019, -0.7045194142285258, 1.5227442894697942, -1.5227447163706616]
[-11.96502986 -98.49030506 -15.95580231];[0.5621983523678166, -0.7066065330619276, 1.6411532174518986, -1.5250277870494142]
[-11.96668852 -98.47150531 -19.95047605];[0.42097323321666963, -0.7074440816591727, 1.752164322504095, -1.525279844219246]
[ -7.97669071 -98.47173112 -19.950124  ];[0.41880308160126406, -0.8502919917232171, 1.7497788970341908, -1.4003939950341018]
[ -7.97554538 -98.49053224 -15.95553477];[0.5601110122324969, -0.8496796171295324, 1.6387921970113912, -1.400163017761882]
[ -7.97436347 -98.51105577 -11.96312176];[0.7025023624304179, -0.8476669867521262, 1.5204703064364369, -1.3979908117666406]
[ -7.97311589 -98.53373573  -7.97311573];[0.8451546345212754, -0.8451542004920456, 1.3950311006462328, -1.395030329956292]
[ -7.97279971 -98.5387062   -3.98603166];[0.9873960810700809, -0.8434501949542776, 1.2638392714350946, -1.3930449787464791]
[-7.97252874e+00 -9.85436504e+01  2.28480912e-08];[1.1273806178314398, -0.8427317083510139, 1.1273803760526147, -1.392176265835145]
[ -7.97279961 -98.53870646   3.98603171];[1.263838897637298, -0.8434503046579492, 0.9873955355496716, -1.3930452562591804]
[ -7.97311575 -98.53373512   7.9731159 ];[1.3950300826625806, -0.8451543672075503, 0.8451541502597131, -1.3950307469625747]
[ -7.97436326 -98.51105542  11.96312205];[1.52046895832532, -0.847667171149038, 0.7025022565804326, -1.3979911669797218]
[ -7.97554515 -98.49053228  15.95553512];[1.6387908025431486, -0.8496795760416052, 0.5601114326870306, -1.400162685986213]
[ -7.97669055 -98.47173168  19.95012387];[1.7497781078005645, -0.8502902652636517, 0.4188041000474086, -1.400393467299209]
[ -3.98798585 -98.47178236  19.94991471];[1.7477774501068613, -0.9925103750392992, 0.4171615455227878, -1.2691133134037935]
[ -3.98739985 -98.49057812  15.95538083];[1.6368160290263059, -0.9920826789337045, 0.5584987994254988, -1.2688762481571056]
[ -3.98679677 -98.51107631  11.96301609];[1.5185647883559834, -0.9901026313569943, 0.7009102911611343, -1.266808921274757]
[ -3.9861608  -98.53370451   7.97305133];[1.3932194272384246, -0.987529989977151, 0.8435683340618421, -1.2640022755175353]
[ -3.98548217 -98.55874718   3.98548209];[1.261464819645848, -0.9852547198464502, 0.9852550224005038, -1.2614643463242494]
[-3.98533963e+00 -9.85638464e+01 -5.99442199e-08];[1.1251288888746147, -0.9845067655501802, 1.1251288851550134, -1.2606377294566817]
[ -3.98548213 -98.55874693  -3.98548223];[0.985254699654703, -0.9852548453127954, 1.2614641940064775, -1.2614646273459704]
[ -3.98616071 -98.53370431  -7.97305154];[0.8435680869906009, -0.9875302926941931, 1.3932182245201594, -1.2640028318562417]
[ -3.98679665 -98.5110764  -11.96301639];[0.700910386581405, -0.9901029380483467, 1.518563197107028, -1.2668094030422585]
[ -3.98739972 -98.49057871 -15.95538119];[0.5584994142816894, -0.9920827073236984, 1.6368144015600632, -1.2688762558039095]
[ -3.98798565 -98.47178287 -19.94991471];[0.417162532117736, -0.9925086752548895, 1.7477768097279731, -1.2691135863473941]
[-1.03136657e-06 -9.84542345e+01 -2.39461498e+01];[0.27671087445907, -1.1303076391111384, 1.850904784668423, -1.1302972408608223]
[ 1.91442454e-09 -9.84717829e+01 -1.99498449e+01];[0.41655243642736234, -1.1326489605669703, 1.7470081210419823, -1.1326489552844476]
[-1.12503025e-09 -9.84905762e+01 -1.59553306e+01];[0.5578962480512981, -1.1323491026943833, 1.6360562870535729, -1.1323490709551425]
[-3.81833468e-10 -9.85110644e+01 -1.19629823e+01];[0.7003104553329492, -1.1303506233241514, 1.5178318126340091, -1.130350612899805]
[-3.69732393e-10 -9.85336732e+01 -7.97303129e+00];[0.842966084667338, -1.1276784824652148, 1.3925220881348381, -1.1276784721159219]
[-3.40150232e-10 -9.85586848e+01 -3.98547315e+00];[0.9846436899792388, -1.1252815049875928, 1.2608045391919827, -1.125281494781482]
[-3.24415932e-10 -9.85860968e+01  7.33323804e-08];[1.1238396914386724, -1.123839686192742, 1.1238397344835647, -1.1238396760521967]
[-2.78483306e-10 -9.85586847e+01  3.98547331e+00];[1.2608038332103628, -1.1252817106626576, 0.9846434030056177, -1.12528170057378]
[-1.02297110e-10 -9.85336732e+01  7.97303150e+00];[1.3925208217340979, -1.1276788919440262, 0.8429658642517576, -1.127678890809985]
