# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -31.91701834 -114.35768991  -15.96085975];[0.20887376385570158, 0.24339290647307288, 1.0818686332729952, -1.5053317170081448]
[ -31.91376285 -114.36408222   -7.97974633];[0.43822332337774916, 0.24095434354427003, 0.8775309113270103, -1.5162448853554273]
[-3.19116248e+01 -1.14370302e+02 -2.25159874e-06];[0.6618664990742442, 0.24037868590544592, 0.6618671857258601, -1.519444786218334]
[ -31.91376157 -114.36409072    7.97973986];[0.8775373209670788, 0.24096732511308555, 0.4382324910456279, -1.516226792058295]
[ -31.91702168 -114.35774261   15.96082967];[1.0819517851570613, 0.24350672560954306, 0.20896558777361912, -1.5052382228314538]
[ -31.90170683 -122.30009823   15.95573862];[0.8551868146627117, 0.3714670443234267, 0.0469461302470478, -1.2690846141236931]
[ -31.8985274  -122.3062419     7.97761089];[0.6650632422978909, 0.3659733526597776, 0.25980547895797257, -1.28318729999237]
[-3.18962704e+01 -1.22311707e+02  2.97856201e-06];[0.4660978672589701, 0.364320912204641, 0.4660903319148265, -1.2875896161710034]
[ -31.89852487 -122.30624628   -7.97760362];[0.2598198164026162, 0.3659842676823304, 0.6650607139197289, -1.2831731864617741]
[ -31.90170625 -122.30009994  -15.95573516];[0.04695345991239294, 0.37147056413530594, 0.8551857629812387, -1.269077533913376]
[ -23.92926225 -122.30454079  -23.92924146];[-0.15345147364634346, 0.15359976205160003, 1.0701210898254558, -1.0700273818913453]
[ -23.92612144 -122.31111549  -15.95260034];[0.06778742067022221, 0.14196295931820993, 0.8866989765692979, -1.0926220461578322]
[ -23.92353851 -122.31727675   -7.97594593];[0.2830127124579455, 0.13591835208839453, 0.6936453137450349, -1.1050685195826526]
[-2.39217587e+01 -1.22322941e+02 -1.06673567e-06];[0.491896060592332, 0.13409763251213178, 0.49190145925174394, -1.1089167436930103]
[ -23.92353765 -122.31728184    7.97594236];[0.6936474299512809, 0.13592967286198562, 0.2830267333177704, -1.1050539732675564]
[ -23.92612025 -122.3111244    15.95259318];[0.8867059447856229, 0.1419845727699316, 0.0678110129511483, -1.092594551535348]
[ -23.92925483 -122.30453263   23.92924927];[1.0700792416911216, 0.1535421486944417, -0.1535078181260928, -1.0700549057092354]
[ -15.95650833 -122.29503071   31.90337958];[1.269306396541366, -0.04694820210790096, -0.3713444567843588, -0.8552860714429451]
[ -15.95337291 -122.30606918   23.92733444];[1.0927683463499296, -0.06788831408171098, -0.14193465497534097, -0.8868695716706814]
[ -15.94996139 -122.32005491   15.94996361];[0.9068972095835972, -0.08069518989811192, 0.08067355515576295, -0.9069156147369228]
[ -15.94812117 -122.32631274    7.97455853];[0.7118097630588225, -0.08752304711383652, 0.29750647465759206, -0.9179963409285947]
[-1.59468762e+01 -1.22332168e+02 -1.75905109e-07];[0.5081653506661379, -0.08958162581134588, 0.5081615396450015, -0.9213915957421729]
[ -15.94812117 -122.32631798   -7.97455737];[0.29752025617852773, -0.08751133000613942, 0.7118152901575059, -0.917982026226978]
[ -15.94996295 -122.32005559  -15.94996055];[0.08069734372012792, -0.08067364654642575, 0.9069095141017846, -0.9068894636776913]
[ -15.95337689 -122.30605825  -23.92733209];[-0.1419007858123883, -0.06785919734877369, 1.0927829538258733, -0.8868342012168338]
[ -15.95649618 -122.2950383   -31.90337888];[-0.37140187894257365, -0.04699912234428358, 1.2692760863980916, -0.8553103303198761]
[  -7.97837255 -122.29592033  -31.90198141];[-0.36590873648420486, -0.26000062684731345, 1.2835537162316824, -0.6653314125552322]
[  -7.97675576 -122.30666308  -23.92612205];[-0.1358283234991957, -0.28323420352140916, 1.1054031722045101, -0.6939428528502752]
[  -7.97502342 -122.32039014  -15.94907227];[0.08759205702147903, -0.29763514204854835, 0.9181599835867468, -0.7119819411778614]
[  -7.97350625 -122.33376553   -7.97350625];[0.30524450261800284, -0.3052571155881915, 0.7216644446896241, -0.7216748704851744]
[-7.97285774e+00 -1.22339797e+02  8.90606986e-07];[0.5169162222786271, -0.30759912775708154, 0.5169190528503603, -0.7246811877394815]
[  -7.97350672 -122.33376727    7.97350678];[0.7216720485280819, -0.3052448915150425, 0.305258112070664, -0.7216611589176922]
[  -7.9750249  -122.32038572   15.9490717 ];[0.9181753438325414, -0.2976131435937922, 0.08761584999246182, -0.711957343767016]
[  -7.97675793 -122.30665415   23.9261215 ];[1.1054213743415082, -0.2832052221151382, -0.13579516707603334, -0.6939105088539849]
[  -7.97837091 -122.29591625   31.90198077];[1.2835551543771446, -0.2599887443687684, -0.3658907836855888, -0.6653100722242247]
[-2.36186593e-06 -1.22296154e+02  3.19014966e+01];[1.288142951515671, -0.4664410581351074, -0.36422504838379766, -0.4664474051760787]
[ 2.42605846e-09 -1.22306801e+02  2.39257064e+01];[1.1094402186313284, -0.4922809622074423, -0.1339460611397893, -0.4922810203129598]
[ 2.45263681e-11 -1.22320437e+02  1.59487691e+01];[0.9217358883814928, -0.5084420443078791, 0.08973952689987806, -0.508442044004642]
[ 9.47307389e-12 -1.22333829e+02  7.97333792e+00];[0.7248354981791257, -0.5170595560095941, 0.30770321614036594, -0.517059555640971]
[ 1.01118862e-11 -1.22345725e+02 -1.13500557e-06];[0.5195879256897542, -0.5195867800143658, 0.5195854248765394, -0.5195867796503317]
[ 3.54438478e-12 -1.22333829e+02 -7.97333907e+00];[0.30771677528122543, -0.5170465417781966, 0.7248437390229215, -0.5170465413924819]
[ 1.08566368e-09 -1.22320433e+02 -1.59487690e+01];[0.08976325231054727, -0.5084189252990324, 0.9217521868172229, -0.5084189621575472]
