# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[  1.59560336 -93.62872477 -36.74758345];[-0.09110823910094488, -1.3125553224760216, 2.3145268062761413, -1.1954036639600534];[2.67, -99.22, -38.33]
[  1.59518924 -93.65166898 -30.34658042];[0.13435409113820376, -1.3357885981484094, 2.1795479054980644, -1.2171370558654224];[2.95, -99.69, -32.84]
[  1.59482588 -93.6767982  -23.94730538];[0.36505265379135177, -1.346114681118876, 2.0282941503122256, -1.2267144345443302];[2.89, -100.06, -26.47]
[  1.59442216 -93.71120878 -17.55141412];[0.602309477417691, -1.3456960175761217, 1.8567097562374062, -1.22619377490396];[2.78, -100.3, -19.92]
[  1.59401653 -93.74931646 -11.16217048];[0.8454067270156215, -1.3390030823865118, 1.6623480090118201, -1.2197936907026505];[2.69, -100.36, -13.35]
[  1.59354065 -93.79509265  -4.78096452];[1.0900308047056992, -1.3315760662464313, 1.4451526121877578, -1.2127509386869846];[2.62, -100.43, -6.83]
[  1.59327436 -93.82036405   1.59327439];[1.3292561661724913, -1.329256214598572, 1.2105662239229578, -1.210566200094349];[2.53, -100.51, -0.2]
[  1.59378583 -93.77153926   7.97051679];[1.5564222501008158, -1.3350089152358275, 0.9679412903819862, -1.2160010070670326];[2.45, -100.49, 6.67]
[  1.59422306 -93.72962492  14.35583497];[1.762466632914117, -1.3428019860339175, 0.723302334451791, -1.223415210128844];[2.33, -100.45, 13.53]
[  1.59462118 -93.69369501  20.74866898];[1.9452167849348128, -1.3469962631918713, 0.4828326961589212, -1.2274788624702213];[2.29, -100.21, 20.47]
[  1.59500269 -93.66389805  27.14659589];[2.106203298018166, -1.3424567542952308, 0.2489212618604687, -1.2233425215956488];[2.36, -99.83, 27.16]
[  1.59539322 -93.63954541  33.54704353];[2.2488373027145614, -1.3258870541590622, 0.0211200557949717, -1.2078867825177477];[2.54, -99.14, 32.98]
[  1.59583124 -93.61819304  39.94809217];[2.3771653228513547, -1.2957418762620385, -0.20269116343786264, -1.1796348668231218];[2.16, -98.6, 38.71]
[  7.97896923 -93.63218012  36.74767047];[2.318732045831636, -1.5360703046773765, -0.087764282125022, -0.9557338077955007];[9.03, -98.52, 36.98]
[  7.97695773 -93.65627729  30.34634708];[2.1843556932695303, -1.5617275474299068, 0.13767166082896357, -0.9741626534605793];[9.3, -99.09, 30.87]
[  7.97524769 -93.68107248  23.94697589];[2.0333619077449456, -1.5731616992694772, 0.36837754685582863, -0.9819705373822701];[9.44, -99.57, 24.33]
[  7.97336477 -93.71451709  17.55112136];[1.861713324037698, -1.5727168498879207, 0.605687830089062, -0.98100544885883];[9.56, -99.9, 17.68]
[  7.97147107 -93.75148865  11.16198226];[1.667048276256601, -1.5653313970376104, 0.848911361874698, -0.9750013563703418];[9.61, -100.04, 10.8]
[  7.97026093 -93.77621619   4.7815289 ];[1.4501614849613675, -1.5578829358722435, 1.0943318564220004, -0.9691280451498678];[9.62, -100.12, 4.13]
[  7.97007833 -93.78011193  -1.59369372];[1.2157340186103809, -1.5560996679616586, 1.3347190697493434, -0.9677250432120194];[9.6, -100.18, -2.52]
[  7.97042903 -93.77238771  -7.97042906];[0.971565809959551, -1.5609495306515702, 1.5609494959505164, -0.9715657398399912];[9.6, -100.31, -9.24]
[  7.97243641 -93.7323629  -14.35558977];[0.7267329483193059, -1.5695251267839656, 1.7673414670593894, -0.9783546232942495];[9.6, -100.37, -15.9]
[  7.97429207 -93.69752866 -20.74834605];[0.48617707726566595, -1.574145797792098, 1.9502888060208328, -0.9823755003097662];[9.57, -100.26, -22.59]
[  7.97608362 -93.66828633 -27.14631343];[0.2522398561655891, -1.5691132626697746, 2.1111924029110978, -0.9793065728018344];[9.56, -99.94, -29.09]
[  7.97791818 -93.64423795 -33.54688561];[0.024442638161490463, -1.5507696090278358, 2.2533699093210444, -0.9663512500659152];[9.79, -99.41, -35.23]
[  7.98011135 -93.62016161 -39.94846206];[-0.19932495831951824, -1.5175344678127562, 2.380945132298393, -0.9422244366435234];[9.8, -98.84, -40.82]
[ 14.36602466 -93.63457666 -36.74841948];[-0.08172456426785799, -1.7397335828106444, 2.3250020188511202, -0.7155783186173109];[16.45, -98.86, -38.42]
[ 14.36285563 -93.65830478 -30.34676644];[0.14353789351527535, -1.7671089301516802, 2.191901286117977, -0.7307803652849882];[16.57, -99.23, -32.48]
[ 14.36014385 -93.68243531 -23.94715747];[0.3741028067136403, -1.779206284721546, 2.041431061574465, -0.7367023124043683];[16.61, -99.53, -26.17]
[ 14.35716584 -93.71440363 -17.55122974];[0.6113451249728455, -1.778582006540733, 1.869690209556002, -0.7350580226332044];[16.58, -99.73, -19.77]
[ 14.35523507 -93.73661583 -11.16297501];[0.8549323802054267, -1.7710876692397457, 1.67503480828895, -0.7294540368580141];[16.53, -99.76, -13.2]
[ 14.35467224 -93.74352857  -4.78252994];[1.101154786864883, -1.7636935569769694, 1.4580296818268592, -0.7242615675819013];[16.45, -99.81, -6.66]
[ 14.35448713 -93.74584939   1.59404784];[1.3422401411547944, -1.7618139086947853, 1.2228984142515618, -0.7229728622106897];[16.37, -99.85, -0.04]
[ 14.35490895 -93.74055934   7.97201622];[1.569204733917388, -1.7670067997142087, 0.9781395984058217, -0.7265636942528994];[16.28, -99.87, 6.87]
[ 14.35568923 -93.73142147  14.35568926];[1.7750953381950938, -1.7750953001880365, 0.7323981853523083, -0.732398177334527];[16.17, -99.81, 13.81]
[ 14.35863462 -93.69819801  20.74847887];[1.9583796504050923, -1.7801861525888216, 0.4918566306498991, -0.7366406518843598];[16.14, -99.63, 20.47]
[ 14.3614822  -93.66990466  27.14661315];[2.1190930778268458, -1.7749543450927678, 0.25803138120667074, -0.7348223302639335];[16.19, -99.2, 27.04]
[ 14.3643669  -93.64652729  33.54745586];[2.2603749567984943, -1.755429248610156, 0.030392768963556818, -0.7244088671209562];[16.26, -98.55, 33.32]
[ 14.36783148 -93.62251012  39.94941275];[2.386279351728907, -1.719919475840172, -0.19319415113147376, -0.7042046661688992];[16.02, -97.99, 39.52]
[ 20.75832363 -93.63277411  36.74996802];[2.3267857660212403, -1.920233799415669, -0.0761693398813156, -0.4801203946106226];[22.3, -97.75, 37.21]
[ 20.75452038 -93.65570561  30.34798008];[2.195223350913534, -1.948837397590645, 0.1485268086706381, -0.4924326087486065];[22.57, -98.25, 30.73]
[ 20.75121136 -93.6787538   23.94811544];[2.0454588654276895, -1.961470018198475, 0.3785306485913976, -0.4965717885478619];[22.77, -98.68, 24.15]
[ 20.74840227 -93.70061916  17.55282255];[1.8741384911307104, -1.9612078270001094, 0.6154076203677464, -0.49429887318591403];[22.92, -98.99, 17.53]
[ 20.74710811 -93.71024908  11.16490244];[1.679582407463323, -1.9538725186005552, 0.8588500120479705, -0.48875435885038915];[22.98, -99.17, 10.78]
[ 20.74644331 -93.71531551   4.78346391];[1.4621319745420722, -1.9461975488888896, 1.1049367651922568, -0.4836840000955879];[22.99, -99.22, 4.23]
[ 20.74625517 -93.71687033  -1.59437191];[1.226726451079344, -1.9442620802240642, 1.3461798231428084, -0.48245123366051157];[23.1, -99.36, -2.61]
[ 20.7467152  -93.71321729  -7.97349003];[0.9819558068336622, -1.94963248627965, 1.573521258150009, -0.4859139016459486];[23.11, -99.49, -9.36]
[ 20.74765907 -93.70612314 -14.35798079];[0.7364688266943017, -1.9580398034216078, 1.779848460958457, -0.49171956747273704];[23.06, -99.53, -16.02]
[ 20.74936749 -93.69359305 -20.74936753];[0.4960155572114083, -1.962508220931574, 1.9625082735775408, -0.49601563976650853];[23.01, -99.51, -22.7]
[ 20.75286339 -93.66670209 -27.14769939];[0.2627397182622887, -1.9570349588798728, 2.12286765009389, -0.49545047390598196];[22.94, -99.27, -29.17]
[ 20.756336   -93.64439855 -33.54882361];[0.03566462934484037, -1.9366340145812302, 2.2630382379939826, -0.48736363148341977];[22.97, -98.97, -34.97]
[ 20.76048953 -93.62088447 -39.95116642];[-0.1873581837046776, -1.8995277087243332, 2.386950016718304, -0.4706199563746758];[22.68, -99.12, -39.71]
[ 27.15556196 -93.6254653  -36.75231554];[-0.07408957243192894, -2.077726312062218, 2.3178972993574973, -0.2511915597984444];[26.83, -99.87, -37.43]
[ 27.15153249 -93.64723397 -30.35011425];[0.1494912272802924, -2.107453770174958, 2.187913899348572, -0.2610149213848685];[27.66, -99.19, -32.29]
[ 27.14844956 -93.66418126 -23.95056944];[0.37838075480794137, -2.1210565055308734, 2.039236860006691, -0.26361410123129264];[28.62, -98.91, -26.42]
[ 27.14606429 -93.67764983 -17.5556139 ];[0.6141290810282952, -2.121569386011208, 1.8686091913438356, -0.26061865343394747];[29.22, -98.89, -20.02]
[ 27.14456348 -93.68536431 -11.16701956];[0.8562989863048778, -2.1145327653419286, 1.6742649472315227, -0.2548151378227382];[29.35, -98.95, -13.47]
[ 27.14377616 -93.68890947  -4.78449128];[1.1011986671617542, -2.1070293014934753, 1.4571703442509703, -0.24977088880344234];[29.38, -99.03, -6.74]
[ 27.1435857  -93.6898537    1.59472674];[1.3415370444123702, -2.105140900110005, 1.2224942940845591, -0.24856709910204489];[29.5, -99.07, 0.27]
[ 27.1440929  -93.68751962   7.97511233];[1.5683431774833265, -2.1103917465597615, 0.9787880806154161, -0.2519716979735134];[29.32, -98.96, 7.36]
[ 27.14521307 -93.68215231  14.36048546];[1.7744291979211726, -2.1185702449468, 0.7345541417108551, -0.25785450882368416];[29.09, -98.9, 14.13]
[ 27.14713738 -93.67169169  20.75236045];[1.956815487484831, -2.1226504366225667, 0.49536074681864006, -0.26266557117522427];[29.03, -98.7, 20.67]
[ 27.14974846 -93.65749159  27.1497485 ];[2.1160771782682466, -2.1160771010104438, 0.2631201597805225, -0.26312026081713497];[28.98, -98.31, 27.13]
[ 27.15346458 -93.63656514  33.55105539];[2.2550362288920667, -2.094736043058605, 0.037194784479687215, -0.25707873435971285];[28.9, -97.71, 33.61]
