# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -10.415445   -141.66444548   50.75681976];[1.570796326794898, 1.0471975511965983, -1.047202001712755, 0.5131579536994453]
[ -22.85909029 -137.66982127   50.99634113];[1.570796326794898, 1.0471975511965983, -1.0471974603697423, -0.01047261129998818]
[ -35.06895939 -131.58726473   51.36383975];[1.570796326794898, 1.0471975511965983, -1.0471975530502056, -0.5340707381349996]
[ -45.2032739  -124.00851289   51.92238828];[1.570796326794898, 1.0471975511965983, -1.047197551158774, -1.0576695269733638]
[ -52.79505738 -115.98509332   52.68927377];[1.570796326794898, 1.0471975511965983, -1.0471975511973655, -1.5812683023014573]
[   5.50058627 -144.5986001    61.03489321];[1.570796326794898, 1.0471975511965983, -1.5814820160928058, 1.635124176368292]
[  -0.22867617 -144.24501154   60.21106581];[1.570796326794898, 1.0471975511965983, -1.5705782515031077, 1.0351990486420724]
[ -10.86102424 -142.03956729   60.00604658];[1.570796326794898, 1.0471975511965983, -1.5708007773110546, 0.5131579536994455]
[ -23.70387322 -137.82736732   59.96015082];[1.570796326794898, 1.0471975511965983, -1.5707962359680308, -0.010472611299988305]
[ -35.97447258 -131.36095238   60.11911112];[1.570796326794898, 1.0471975511965983, -1.5707963286485052, -0.5340707381349997]
[ -45.89606305 -123.39018263   60.57636795];[1.570796326794898, 1.0471975511965983, -1.5707963267570626, -1.057669526973364]
[ -53.22109589 -115.0404078    61.38520086];[1.570796326794898, 1.0471975511965983, -1.570796326795665, -1.5812683023014575]
[  16.89074589 -115.38133075   -0.71751855];[1.570796326794898, 0.5129130863003748, 1.6349104625824606, 1.6351241763682918]
[ 8.95014922e+00 -1.14057966e+02  1.41654580e-02];[1.570796326794898, 0.5238168508900951, 1.5694878750441277, 1.0351990486420721]
[-2.84721507e-01 -1.11893477e+02 -2.94084015e-04];[1.570796326794898, 0.5235943250821371, 1.5708230298918535, 0.5131579536994453]
[-1.10190243e+01 -1.09156885e+02  6.09227537e-06];[1.570796326794898, 0.523598866425161, 1.5707957818337326, -0.01047261129998818]
[-2.17933312e+01 -1.05402370e+02 -5.93409672e-08];[1.570796326794898, 0.5235987737446866, 1.5707963379165568, -0.5340707381349996]
[-3.14418029e+01 -1.00731484e+02  1.50373544e-07];[1.570796326794898, 0.5235987756361291, 1.5707963265679237, -1.0576695269733638]
[-3.93552456e+01 -9.55826737e+01  1.39843396e-07];[1.570796326794898, 0.5235987755975267, 1.5707963267995273, -1.5812683023014573]
[  16.23740046 -121.12636537    6.09978229];[1.570796326794898, 0.5235987755983149, 1.0365118618985802, 1.635124176368292]
[   8.87072352 -119.37122235    6.04706927];[1.570796326794898, 0.5235987755982983, 1.0474156264883894, 1.0351990486420724]
[  -0.28379167 -117.3221132     6.16008365];[1.570796326794898, 0.5235987755982983, 1.0471931006804425, 0.5131579536994455]
[ -11.040875   -114.55528614    6.2337551 ];[1.570796326794898, 0.5235987755982983, 1.0471976420234552, -0.010472611299988305]
[ -21.86479757 -110.66264199    6.31244079];[1.570796326794898, 0.5235987755982983, 1.047197549342992, -0.5340707381349997]
[ -31.49932827 -105.7989421     6.41861726];[1.570796326794898, 0.5235987755982983, 1.0471975512344234, -1.057669526973364]
[ -39.30500888 -100.47304736    6.55929365];[1.570796326794898, 0.5235987755982983, 1.047197551195821, -1.5812683023014575]
[  15.94263439 -127.25211736   14.50122656];[1.570796326794898, 0.5235987755982983, 0.5129130863003917, 1.6351241763682918]
[   8.89853753 -125.69378078   14.46517613];[1.570796326794898, 0.5235987755982983, 0.5238168508900953, 1.0351990486420721]
